"componentType","logicalName","displayName","sourcePath","parent","dependencies","rootComponent","dataType","requiredLevel","description","domain","targetSolution","disposition","rationale","licenceReview","maturityReview","sourceOnly"
"Attribute","createdon","Created On","Entities/cr7e8_broker/Entity.xml","cr7e8_broker","","False","datetime","none","Date and time when the record was created.","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","createdonbehalfby","Created By (Delegate)","Entities/cr7e8_broker/Entity.xml","cr7e8_broker","","False","lookup","none","Unique identifier of the delegate user who created the record.","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","exchangerate","Exchange Rate","Entities/cr7e8_broker/Entity.xml","cr7e8_broker","","False","decimal","none","Exchange rate for the currency associated with the entity with respect to the base currency.","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","importsequencenumber","Import Sequence Number","Entities/cr7e8_broker/Entity.xml","cr7e8_broker","","False","int","none","Sequence number of the import that created this record.","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","modifiedby","Modified By","Entities/cr7e8_broker/Entity.xml","cr7e8_broker","","False","lookup","none","Unique identifier of the user who modified the record.","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","modifiedon","Modified On","Entities/cr7e8_broker/Entity.xml","cr7e8_broker","","False","datetime","none","Date and time when the record was modified.","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","modifiedonbehalfby","Modified By (Delegate)","Entities/cr7e8_broker/Entity.xml","cr7e8_broker","","False","lookup","none","Unique identifier of the delegate user who modified the record.","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","overriddencreatedon","Record Created On","Entities/cr7e8_broker/Entity.xml","cr7e8_broker","","False","datetime","none","Date and time that the record was migrated.","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","ownerid","Owner","Entities/cr7e8_broker/Entity.xml","cr7e8_broker","","False","owner","systemrequired","Owner Id","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","owningbusinessunit","Owning Business Unit","Entities/cr7e8_broker/Entity.xml","cr7e8_broker","","False","lookup","none","Unique identifier for the business unit that owns the record","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","owningteam","Owning Team","Entities/cr7e8_broker/Entity.xml","cr7e8_broker","","False","lookup","none","Unique identifier for the team that owns the record.","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","owninguser","Owning User","Entities/cr7e8_broker/Entity.xml","cr7e8_broker","","False","lookup","none","Unique identifier for the user that owns the record.","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","statecode","Status","Entities/cr7e8_broker/Entity.xml","cr7e8_broker","","False","state","systemrequired","Status of the Broker","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","statuscode","Status Reason","Entities/cr7e8_broker/Entity.xml","cr7e8_broker","","False","status","none","Reason for the status of the Broker","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","timezoneruleversionnumber","Time Zone Rule Version Number","Entities/cr7e8_broker/Entity.xml","cr7e8_broker","","False","int","none","For internal use only.","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","utcconversiontimezonecode","UTC Conversion Time Zone Code","Entities/cr7e8_broker/Entity.xml","cr7e8_broker","","False","int","none","Time zone code that was in use when the record was created.","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","cr7e8_account","","Entities/cr7e8_campaign/Entity.xml","cr7e8_campaign","","False","lookup","none","","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","cr7e8_campaignid","Kampagne","Entities/cr7e8_campaign/Entity.xml","cr7e8_campaign","","False","primarykey","systemrequired","Unique identifier for entity instances","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","cr7e8_contact","","Entities/cr7e8_campaign/Entity.xml","cr7e8_campaign","","False","lookup","none","","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","cr7e8_diagnose_healthcheck","Diagnose Healthcheck","Entities/cr7e8_campaign/Entity.xml","cr7e8_campaign","","False","bit","none","","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","cr7e8_go_live_datum","Go Live Datum","Entities/cr7e8_campaign/Entity.xml","cr7e8_campaign","","False","datetime","none","","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","cr7e8_kampagnencode","Kampagnencode","Entities/cr7e8_campaign/Entity.xml","cr7e8_campaign","","False","nvarchar","none","","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","cr7e8_name","Kampagne Name","Entities/cr7e8_campaign/Entity.xml","cr7e8_campaign","","False","nvarchar","none","","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","cr7e8_product","","Entities/cr7e8_campaign/Entity.xml","cr7e8_campaign","","False","lookup","none","","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","cr7e8_sprachen","Sprachen","Entities/cr7e8_campaign/Entity.xml","cr7e8_campaign","","False","multiselectpicklist","none","","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","cr7e8_ziel_abschluesse","Ziel Abschluesse","Entities/cr7e8_campaign/Entity.xml","cr7e8_campaign","","False","int","none","","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","cr7e8_ziel_leads","Ziel Leads","Entities/cr7e8_campaign/Entity.xml","cr7e8_campaign","","False","int","none","","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","cr7e8_zielgruppen_hypothese","Zielgruppen Hypothese","Entities/cr7e8_campaign/Entity.xml","cr7e8_campaign","","False","ntext","none","","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","createdby","Created By","Entities/cr7e8_campaign/Entity.xml","cr7e8_campaign","","False","lookup","none","Unique identifier of the user who created the record.","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","createdon","Created On","Entities/cr7e8_campaign/Entity.xml","cr7e8_campaign","","False","datetime","none","Date and time when the record was created.","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","createdonbehalfby","Created By (Delegate)","Entities/cr7e8_campaign/Entity.xml","cr7e8_campaign","","False","lookup","none","Unique identifier of the delegate user who created the record.","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","exchangerate","Exchange Rate","Entities/cr7e8_campaign/Entity.xml","cr7e8_campaign","","False","decimal","none","Exchange rate for the currency associated with the entity with respect to the base currency.","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","importsequencenumber","Import Sequence Number","Entities/cr7e8_campaign/Entity.xml","cr7e8_campaign","","False","int","none","Sequence number of the import that created this record.","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","modifiedby","Modified By","Entities/cr7e8_campaign/Entity.xml","cr7e8_campaign","","False","lookup","none","Unique identifier of the user who modified the record.","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","modifiedon","Modified On","Entities/cr7e8_campaign/Entity.xml","cr7e8_campaign","","False","datetime","none","Date and time when the record was modified.","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","modifiedonbehalfby","Modified By (Delegate)","Entities/cr7e8_campaign/Entity.xml","cr7e8_campaign","","False","lookup","none","Unique identifier of the delegate user who modified the record.","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","overriddencreatedon","Record Created On","Entities/cr7e8_campaign/Entity.xml","cr7e8_campaign","","False","datetime","none","Date and time that the record was migrated.","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","ownerid","Owner","Entities/cr7e8_campaign/Entity.xml","cr7e8_campaign","","False","owner","systemrequired","Owner Id","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","owningbusinessunit","Owning Business Unit","Entities/cr7e8_campaign/Entity.xml","cr7e8_campaign","","False","lookup","none","Unique identifier for the business unit that owns the record","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","owningteam","Owning Team","Entities/cr7e8_campaign/Entity.xml","cr7e8_campaign","","False","lookup","none","Unique identifier for the team that owns the record.","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","owninguser","Owning User","Entities/cr7e8_campaign/Entity.xml","cr7e8_campaign","","False","lookup","none","Unique identifier for the user that owns the record.","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","statecode","Status","Entities/cr7e8_campaign/Entity.xml","cr7e8_campaign","","False","state","systemrequired","Status of the Kampagne","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","statuscode","Status Reason","Entities/cr7e8_campaign/Entity.xml","cr7e8_campaign","","False","status","none","Reason for the status of the Kampagne","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","timezoneruleversionnumber","Time Zone Rule Version Number","Entities/cr7e8_campaign/Entity.xml","cr7e8_campaign","","False","int","none","For internal use only.","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","utcconversiontimezonecode","UTC Conversion Time Zone Code","Entities/cr7e8_campaign/Entity.xml","cr7e8_campaign","","False","int","none","Time zone code that was in use when the record was created.","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","cr7e8_claim","Claim","Entities/cr7e8_Claim/Entity.xml","cr7e8_Claim","","False","nvarchar","none","","Service and case management","crmshow_DataModel","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"Attribute","cr7e8_claimid","Claim","Entities/cr7e8_Claim/Entity.xml","cr7e8_Claim","","False","primarykey","systemrequired","Unique identifier for entity instances","Service and case management","crmshow_DataModel","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"Attribute","cr7e8_claimnumber","Claim Number","Entities/cr7e8_Claim/Entity.xml","cr7e8_Claim","","False","nvarchar","none","External claim reference number","Service and case management","crmshow_DataModel","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"Attribute","cr7e8_claimtype","Claim Type","Entities/cr7e8_Claim/Entity.xml","cr7e8_Claim","","False","picklist","none","Category of the claim","Service and case management","crmshow_DataModel","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"Attribute","cr7e8_contact","Contact","Entities/cr7e8_Claim/Entity.xml","cr7e8_Claim","","False","lookup","none","","Service and case management","crmshow_DataModel","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"Attribute","cr7e8_dateofloss","Date of Loss","Entities/cr7e8_Claim/Entity.xml","cr7e8_Claim","","False","datetime","none","Date the insured event occurred","Service and case management","crmshow_DataModel","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"Attribute","cr7e8_estimatedamount","Estimated Amount (CHF)","Entities/cr7e8_Claim/Entity.xml","cr7e8_Claim","","False","decimal","none","Estimated claim amount in CHF","Service and case management","crmshow_DataModel","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"Attribute","createdby","Created By","Entities/cr7e8_Claim/Entity.xml","cr7e8_Claim","","False","lookup","none","Unique identifier of the user who created the record.","Service and case management","crmshow_DataModel","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"Attribute","createdon","Created On","Entities/cr7e8_Claim/Entity.xml","cr7e8_Claim","","False","datetime","none","Date and time when the record was created.","Service and case management","crmshow_DataModel","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"Attribute","createdonbehalfby","Created By (Delegate)","Entities/cr7e8_Claim/Entity.xml","cr7e8_Claim","","False","lookup","none","Unique identifier of the delegate user who created the record.","Service and case management","crmshow_DataModel","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"Attribute","importsequencenumber","Import Sequence Number","Entities/cr7e8_Claim/Entity.xml","cr7e8_Claim","","False","int","none","Sequence number of the import that created this record.","Service and case management","crmshow_DataModel","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"Attribute","modifiedby","Modified By","Entities/cr7e8_Claim/Entity.xml","cr7e8_Claim","","False","lookup","none","Unique identifier of the user who modified the record.","Service and case management","crmshow_DataModel","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"Attribute","modifiedon","Modified On","Entities/cr7e8_Claim/Entity.xml","cr7e8_Claim","","False","datetime","none","Date and time when the record was modified.","Service and case management","crmshow_DataModel","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"Attribute","modifiedonbehalfby","Modified By (Delegate)","Entities/cr7e8_Claim/Entity.xml","cr7e8_Claim","","False","lookup","none","Unique identifier of the delegate user who modified the record.","Service and case management","crmshow_DataModel","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"Attribute","overriddencreatedon","Record Created On","Entities/cr7e8_Claim/Entity.xml","cr7e8_Claim","","False","datetime","none","Date and time that the record was migrated.","Service and case management","crmshow_DataModel","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"Attribute","ownerid","Owner","Entities/cr7e8_Claim/Entity.xml","cr7e8_Claim","","False","owner","systemrequired","Owner Id","Service and case management","crmshow_DataModel","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"Attribute","owningbusinessunit","Owning Business Unit","Entities/cr7e8_Claim/Entity.xml","cr7e8_Claim","","False","lookup","none","Unique identifier for the business unit that owns the record","Service and case management","crmshow_DataModel","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"Attribute","owningteam","Owning Team","Entities/cr7e8_Claim/Entity.xml","cr7e8_Claim","","False","lookup","none","Unique identifier for the team that owns the record.","Service and case management","crmshow_DataModel","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"Attribute","owninguser","Owning User","Entities/cr7e8_Claim/Entity.xml","cr7e8_Claim","","False","lookup","none","Unique identifier for the user that owns the record.","Service and case management","crmshow_DataModel","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"Attribute","statecode","Status","Entities/cr7e8_Claim/Entity.xml","cr7e8_Claim","","False","state","systemrequired","Status of the Claim","Service and case management","crmshow_DataModel","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"Attribute","statuscode","Status Reason","Entities/cr7e8_Claim/Entity.xml","cr7e8_Claim","","False","status","none","Reason for the status of the Claim","Service and case management","crmshow_DataModel","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"Attribute","timezoneruleversionnumber","Time Zone Rule Version Number","Entities/cr7e8_Claim/Entity.xml","cr7e8_Claim","","False","int","none","For internal use only.","Service and case management","crmshow_DataModel","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"Attribute","utcconversiontimezonecode","UTC Conversion Time Zone Code","Entities/cr7e8_Claim/Entity.xml","cr7e8_Claim","","False","int","none","Time zone code that was in use when the record was created.","Service and case management","crmshow_DataModel","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"Attribute","cr7e8_account","cr7e8_Account","metadata:DataverseModelBuilder/cr7e8_household","cr7e8_household","","False","Microsoft.Xrm.Sdk.EntityReference","","Enriched from live Dataverse table metadata because the solution package omitted the definition.","Party, household, and relationship","crmshow_DataModel","Redesign","Household must be represented by Account with accountType=Household; the parallel household table is retired.","Investigate","Not required","True"
"Attribute","cr7e8_annual_household_income","cr7e8_Annual_Household_Income","metadata:DataverseModelBuilder/cr7e8_household","cr7e8_household","","False","Microsoft.Xrm.Sdk.Money","","Enriched from live Dataverse table metadata because the solution package omitted the definition.","Party, household, and relationship","crmshow_DataModel","Redesign","Household must be represented by Account with accountType=Household; the parallel household table is retired.","Investigate","Not required","True"
"Attribute","cr7e8_annual_household_income_base","cr7e8_annual_household_income_Base","metadata:DataverseModelBuilder/cr7e8_household","cr7e8_household","","False","Microsoft.Xrm.Sdk.Money","","Enriched from live Dataverse table metadata because the solution package omitted the definition.","Party, household, and relationship","crmshow_DataModel","Redesign","Household must be represented by Account with accountType=Household; the parallel household table is retired.","Investigate","Not required","True"
"Attribute","cr7e8_household_name","cr7e8_Household_Name","metadata:DataverseModelBuilder/cr7e8_household","cr7e8_household","","False","string","","Enriched from live Dataverse table metadata because the solution package omitted the definition.","Party, household, and relationship","crmshow_DataModel","Redesign","Household must be represented by Account with accountType=Household; the parallel household table is retired.","Investigate","Not required","True"
"Attribute","cr7e8_householdid","cr7e8_householdId","metadata:DataverseModelBuilder/cr7e8_household","cr7e8_household","","False","System.Nullable<System.Guid>","","Enriched from live Dataverse table metadata because the solution package omitted the definition.","Party, household, and relationship","crmshow_DataModel","Redesign","Household must be represented by Account with accountType=Household; the parallel household table is retired.","Investigate","Not required","True"
"Attribute","cr7e8_name","cr7e8_name","metadata:DataverseModelBuilder/cr7e8_household","cr7e8_household","","False","string","","Enriched from live Dataverse table metadata because the solution package omitted the definition.","Party, household, and relationship","crmshow_DataModel","Redesign","Household must be represented by Account with accountType=Household; the parallel household table is retired.","Investigate","Not required","True"
"Attribute","cr7e8_number_of_members","cr7e8_Number_of_Members","metadata:DataverseModelBuilder/cr7e8_household","cr7e8_household","","False","System.Nullable<int>","","Enriched from live Dataverse table metadata because the solution package omitted the definition.","Party, household, and relationship","crmshow_DataModel","Redesign","Household must be represented by Account with accountType=Household; the parallel household table is retired.","Investigate","Not required","True"
"Attribute","cr7e8_primary_contact","cr7e8_Primary_Contact","metadata:DataverseModelBuilder/cr7e8_household","cr7e8_household","","False","Microsoft.Xrm.Sdk.EntityReference","","Enriched from live Dataverse table metadata because the solution package omitted the definition.","Party, household, and relationship","crmshow_DataModel","Redesign","Household must be represented by Account with accountType=Household; the parallel household table is retired.","Investigate","Not required","True"
"Attribute","cr7e8_segment","cr7e8_Segment","metadata:DataverseModelBuilder/cr7e8_household","cr7e8_household","","False","new_cr7e8_household_cr7e8_segment?","","Enriched from live Dataverse table metadata because the solution package omitted the definition.","Party, household, and relationship","crmshow_DataModel","Redesign","Household must be represented by Account with accountType=Household; the parallel household table is retired.","Investigate","Not required","True"
"Attribute","createdby","CreatedBy","metadata:DataverseModelBuilder/cr7e8_household","cr7e8_household","","False","Microsoft.Xrm.Sdk.EntityReference","","Enriched from live Dataverse table metadata because the solution package omitted the definition.","Party, household, and relationship","crmshow_DataModel","Redesign","Household must be represented by Account with accountType=Household; the parallel household table is retired.","Investigate","Not required","True"
