"componentType","logicalName","parent","sourcePath","domain","targetSolution","disposition","rationale","licenceReview","maturityReview","sourceOnly"
"Attribute","cr7e8_mandate_count","cr7e8_broker","Entities/cr7e8_broker/Entity.xml","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","cr7e8_name","cr7e8_broker","Entities/cr7e8_broker/Entity.xml","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","cr7e8_primary_contact","cr7e8_broker","Entities/cr7e8_broker/Entity.xml","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","createdby","cr7e8_broker","Entities/cr7e8_broker/Entity.xml","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","createdon","cr7e8_broker","Entities/cr7e8_broker/Entity.xml","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","createdonbehalfby","cr7e8_broker","Entities/cr7e8_broker/Entity.xml","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","exchangerate","cr7e8_broker","Entities/cr7e8_broker/Entity.xml","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","importsequencenumber","cr7e8_broker","Entities/cr7e8_broker/Entity.xml","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","modifiedby","cr7e8_broker","Entities/cr7e8_broker/Entity.xml","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","modifiedon","cr7e8_broker","Entities/cr7e8_broker/Entity.xml","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","modifiedonbehalfby","cr7e8_broker","Entities/cr7e8_broker/Entity.xml","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","overriddencreatedon","cr7e8_broker","Entities/cr7e8_broker/Entity.xml","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","ownerid","cr7e8_broker","Entities/cr7e8_broker/Entity.xml","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","owningbusinessunit","cr7e8_broker","Entities/cr7e8_broker/Entity.xml","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","owningteam","cr7e8_broker","Entities/cr7e8_broker/Entity.xml","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","owninguser","cr7e8_broker","Entities/cr7e8_broker/Entity.xml","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","statecode","cr7e8_broker","Entities/cr7e8_broker/Entity.xml","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","statuscode","cr7e8_broker","Entities/cr7e8_broker/Entity.xml","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","timezoneruleversionnumber","cr7e8_broker","Entities/cr7e8_broker/Entity.xml","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","utcconversiontimezonecode","cr7e8_broker","Entities/cr7e8_broker/Entity.xml","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","cr7e8_account","cr7e8_campaign","Entities/cr7e8_campaign/Entity.xml","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","cr7e8_campaignid","cr7e8_campaign","Entities/cr7e8_campaign/Entity.xml","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","cr7e8_contact","cr7e8_campaign","Entities/cr7e8_campaign/Entity.xml","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","cr7e8_diagnose_healthcheck","cr7e8_campaign","Entities/cr7e8_campaign/Entity.xml","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","cr7e8_go_live_datum","cr7e8_campaign","Entities/cr7e8_campaign/Entity.xml","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","cr7e8_kampagnencode","cr7e8_campaign","Entities/cr7e8_campaign/Entity.xml","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","cr7e8_name","cr7e8_campaign","Entities/cr7e8_campaign/Entity.xml","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","cr7e8_product","cr7e8_campaign","Entities/cr7e8_campaign/Entity.xml","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","cr7e8_sprachen","cr7e8_campaign","Entities/cr7e8_campaign/Entity.xml","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","cr7e8_ziel_abschluesse","cr7e8_campaign","Entities/cr7e8_campaign/Entity.xml","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","cr7e8_ziel_leads","cr7e8_campaign","Entities/cr7e8_campaign/Entity.xml","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","cr7e8_zielgruppen_hypothese","cr7e8_campaign","Entities/cr7e8_campaign/Entity.xml","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","createdby","cr7e8_campaign","Entities/cr7e8_campaign/Entity.xml","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","createdon","cr7e8_campaign","Entities/cr7e8_campaign/Entity.xml","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","createdonbehalfby","cr7e8_campaign","Entities/cr7e8_campaign/Entity.xml","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","exchangerate","cr7e8_campaign","Entities/cr7e8_campaign/Entity.xml","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","importsequencenumber","cr7e8_campaign","Entities/cr7e8_campaign/Entity.xml","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","modifiedby","cr7e8_campaign","Entities/cr7e8_campaign/Entity.xml","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","modifiedon","cr7e8_campaign","Entities/cr7e8_campaign/Entity.xml","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","modifiedonbehalfby","cr7e8_campaign","Entities/cr7e8_campaign/Entity.xml","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","overriddencreatedon","cr7e8_campaign","Entities/cr7e8_campaign/Entity.xml","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","ownerid","cr7e8_campaign","Entities/cr7e8_campaign/Entity.xml","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","owningbusinessunit","cr7e8_campaign","Entities/cr7e8_campaign/Entity.xml","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","owningteam","cr7e8_campaign","Entities/cr7e8_campaign/Entity.xml","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","owninguser","cr7e8_campaign","Entities/cr7e8_campaign/Entity.xml","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","statecode","cr7e8_campaign","Entities/cr7e8_campaign/Entity.xml","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","statuscode","cr7e8_campaign","Entities/cr7e8_campaign/Entity.xml","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","timezoneruleversionnumber","cr7e8_campaign","Entities/cr7e8_campaign/Entity.xml","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","utcconversiontimezonecode","cr7e8_campaign","Entities/cr7e8_campaign/Entity.xml","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","cr7e8_claim","cr7e8_Claim","Entities/cr7e8_Claim/Entity.xml","Service and case management","crmshow_DataModel","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"Attribute","cr7e8_claimid","cr7e8_Claim","Entities/cr7e8_Claim/Entity.xml","Service and case management","crmshow_DataModel","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"Attribute","cr7e8_claimnumber","cr7e8_Claim","Entities/cr7e8_Claim/Entity.xml","Service and case management","crmshow_DataModel","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"Attribute","cr7e8_claimtype","cr7e8_Claim","Entities/cr7e8_Claim/Entity.xml","Service and case management","crmshow_DataModel","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"Attribute","cr7e8_contact","cr7e8_Claim","Entities/cr7e8_Claim/Entity.xml","Service and case management","crmshow_DataModel","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"Attribute","cr7e8_dateofloss","cr7e8_Claim","Entities/cr7e8_Claim/Entity.xml","Service and case management","crmshow_DataModel","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"Attribute","cr7e8_estimatedamount","cr7e8_Claim","Entities/cr7e8_Claim/Entity.xml","Service and case management","crmshow_DataModel","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"Attribute","createdby","cr7e8_Claim","Entities/cr7e8_Claim/Entity.xml","Service and case management","crmshow_DataModel","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"Attribute","createdon","cr7e8_Claim","Entities/cr7e8_Claim/Entity.xml","Service and case management","crmshow_DataModel","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"Attribute","createdonbehalfby","cr7e8_Claim","Entities/cr7e8_Claim/Entity.xml","Service and case management","crmshow_DataModel","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"Attribute","importsequencenumber","cr7e8_Claim","Entities/cr7e8_Claim/Entity.xml","Service and case management","crmshow_DataModel","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"Attribute","modifiedby","cr7e8_Claim","Entities/cr7e8_Claim/Entity.xml","Service and case management","crmshow_DataModel","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"Attribute","modifiedon","cr7e8_Claim","Entities/cr7e8_Claim/Entity.xml","Service and case management","crmshow_DataModel","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"Attribute","modifiedonbehalfby","cr7e8_Claim","Entities/cr7e8_Claim/Entity.xml","Service and case management","crmshow_DataModel","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"Attribute","overriddencreatedon","cr7e8_Claim","Entities/cr7e8_Claim/Entity.xml","Service and case management","crmshow_DataModel","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"Attribute","ownerid","cr7e8_Claim","Entities/cr7e8_Claim/Entity.xml","Service and case management","crmshow_DataModel","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"Attribute","owningbusinessunit","cr7e8_Claim","Entities/cr7e8_Claim/Entity.xml","Service and case management","crmshow_DataModel","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"Attribute","owningteam","cr7e8_Claim","Entities/cr7e8_Claim/Entity.xml","Service and case management","crmshow_DataModel","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"Attribute","owninguser","cr7e8_Claim","Entities/cr7e8_Claim/Entity.xml","Service and case management","crmshow_DataModel","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"Attribute","statecode","cr7e8_Claim","Entities/cr7e8_Claim/Entity.xml","Service and case management","crmshow_DataModel","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"Attribute","statuscode","cr7e8_Claim","Entities/cr7e8_Claim/Entity.xml","Service and case management","crmshow_DataModel","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"Attribute","timezoneruleversionnumber","cr7e8_Claim","Entities/cr7e8_Claim/Entity.xml","Service and case management","crmshow_DataModel","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"Attribute","utcconversiontimezonecode","cr7e8_Claim","Entities/cr7e8_Claim/Entity.xml","Service and case management","crmshow_DataModel","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"Attribute","cr7e8_account","cr7e8_household","metadata:DataverseModelBuilder/cr7e8_household","Party, household, and relationship","crmshow_DataModel","Redesign","Household must be represented by Account with accountType=Household; the parallel household table is retired.","Investigate","Not required","True"
"Attribute","cr7e8_annual_household_income","cr7e8_household","metadata:DataverseModelBuilder/cr7e8_household","Party, household, and relationship","crmshow_DataModel","Redesign","Household must be represented by Account with accountType=Household; the parallel household table is retired.","Investigate","Not required","True"
"Attribute","cr7e8_annual_household_income_base","cr7e8_household","metadata:DataverseModelBuilder/cr7e8_household","Party, household, and relationship","crmshow_DataModel","Redesign","Household must be represented by Account with accountType=Household; the parallel household table is retired.","Investigate","Not required","True"
"Attribute","cr7e8_household_name","cr7e8_household","metadata:DataverseModelBuilder/cr7e8_household","Party, household, and relationship","crmshow_DataModel","Redesign","Household must be represented by Account with accountType=Household; the parallel household table is retired.","Investigate","Not required","True"
"Attribute","cr7e8_householdid","cr7e8_household","metadata:DataverseModelBuilder/cr7e8_household","Party, household, and relationship","crmshow_DataModel","Redesign","Household must be represented by Account with accountType=Household; the parallel household table is retired.","Investigate","Not required","True"
"Attribute","cr7e8_name","cr7e8_household","metadata:DataverseModelBuilder/cr7e8_household","Party, household, and relationship","crmshow_DataModel","Redesign","Household must be represented by Account with accountType=Household; the parallel household table is retired.","Investigate","Not required","True"
"Attribute","cr7e8_number_of_members","cr7e8_household","metadata:DataverseModelBuilder/cr7e8_household","Party, household, and relationship","crmshow_DataModel","Redesign","Household must be represented by Account with accountType=Household; the parallel household table is retired.","Investigate","Not required","True"
"Attribute","cr7e8_primary_contact","cr7e8_household","metadata:DataverseModelBuilder/cr7e8_household","Party, household, and relationship","crmshow_DataModel","Redesign","Household must be represented by Account with accountType=Household; the parallel household table is retired.","Investigate","Not required","True"
"Attribute","cr7e8_segment","cr7e8_household","metadata:DataverseModelBuilder/cr7e8_household","Party, household, and relationship","crmshow_DataModel","Redesign","Household must be represented by Account with accountType=Household; the parallel household table is retired.","Investigate","Not required","True"
"Attribute","createdby","cr7e8_household","metadata:DataverseModelBuilder/cr7e8_household","Party, household, and relationship","crmshow_DataModel","Redesign","Household must be represented by Account with accountType=Household; the parallel household table is retired.","Investigate","Not required","True"
"Attribute","createdon","cr7e8_household","metadata:DataverseModelBuilder/cr7e8_household","Party, household, and relationship","crmshow_DataModel","Redesign","Household must be represented by Account with accountType=Household; the parallel household table is retired.","Investigate","Not required","True"
"Attribute","createdonbehalfby","cr7e8_household","metadata:DataverseModelBuilder/cr7e8_household","Party, household, and relationship","crmshow_DataModel","Redesign","Household must be represented by Account with accountType=Household; the parallel household table is retired.","Investigate","Not required","True"
"Attribute","exchangerate","cr7e8_household","metadata:DataverseModelBuilder/cr7e8_household","Party, household, and relationship","crmshow_DataModel","Redesign","Household must be represented by Account with accountType=Household; the parallel household table is retired.","Investigate","Not required","True"
"Attribute","importsequencenumber","cr7e8_household","metadata:DataverseModelBuilder/cr7e8_household","Party, household, and relationship","crmshow_DataModel","Redesign","Household must be represented by Account with accountType=Household; the parallel household table is retired.","Investigate","Not required","True"
"Attribute","modifiedby","cr7e8_household","metadata:DataverseModelBuilder/cr7e8_household","Party, household, and relationship","crmshow_DataModel","Redesign","Household must be represented by Account with accountType=Household; the parallel household table is retired.","Investigate","Not required","True"
"Attribute","modifiedon","cr7e8_household","metadata:DataverseModelBuilder/cr7e8_household","Party, household, and relationship","crmshow_DataModel","Redesign","Household must be represented by Account with accountType=Household; the parallel household table is retired.","Investigate","Not required","True"
"Attribute","modifiedonbehalfby","cr7e8_household","metadata:DataverseModelBuilder/cr7e8_household","Party, household, and relationship","crmshow_DataModel","Redesign","Household must be represented by Account with accountType=Household; the parallel household table is retired.","Investigate","Not required","True"
"Attribute","overriddencreatedon","cr7e8_household","metadata:DataverseModelBuilder/cr7e8_household","Party, household, and relationship","crmshow_DataModel","Redesign","Household must be represented by Account with accountType=Household; the parallel household table is retired.","Investigate","Not required","True"
"Attribute","ownerid","cr7e8_household","metadata:DataverseModelBuilder/cr7e8_household","Party, household, and relationship","crmshow_DataModel","Redesign","Household must be represented by Account with accountType=Household; the parallel household table is retired.","Investigate","Not required","True"
"Attribute","owningbusinessunit","cr7e8_household","metadata:DataverseModelBuilder/cr7e8_household","Party, household, and relationship","crmshow_DataModel","Redesign","Household must be represented by Account with accountType=Household; the parallel household table is retired.","Investigate","Not required","True"
"Attribute","owningteam","cr7e8_household","metadata:DataverseModelBuilder/cr7e8_household","Party, household, and relationship","crmshow_DataModel","Redesign","Household must be represented by Account with accountType=Household; the parallel household table is retired.","Investigate","Not required","True"
"Attribute","owninguser","cr7e8_household","metadata:DataverseModelBuilder/cr7e8_household","Party, household, and relationship","crmshow_DataModel","Redesign","Household must be represented by Account with accountType=Household; the parallel household table is retired.","Investigate","Not required","True"
"Attribute","statecode","cr7e8_household","metadata:DataverseModelBuilder/cr7e8_household","Party, household, and relationship","crmshow_DataModel","Redesign","Household must be represented by Account with accountType=Household; the parallel household table is retired.","Investigate","Not required","True"
"Attribute","statuscode","cr7e8_household","metadata:DataverseModelBuilder/cr7e8_household","Party, household, and relationship","crmshow_DataModel","Redesign","Household must be represented by Account with accountType=Household; the parallel household table is retired.","Investigate","Not required","True"
"Attribute","timezoneruleversionnumber","cr7e8_household","metadata:DataverseModelBuilder/cr7e8_household","Party, household, and relationship","crmshow_DataModel","Redesign","Household must be represented by Account with accountType=Household; the parallel household table is retired.","Investigate","Not required","True"
"Attribute","transactioncurrencyid","cr7e8_household","metadata:DataverseModelBuilder/cr7e8_household","Party, household, and relationship","crmshow_DataModel","Redesign","Household must be represented by Account with accountType=Household; the parallel household table is retired.","Investigate","Not required","True"
"Attribute","utcconversiontimezonecode","cr7e8_household","metadata:DataverseModelBuilder/cr7e8_household","Party, household, and relationship","crmshow_DataModel","Redesign","Household must be represented by Account with accountType=Household; the parallel household table is retired.","Investigate","Not required","True"
"Attribute","versionnumber","cr7e8_household","metadata:DataverseModelBuilder/cr7e8_household","Party, household, and relationship","crmshow_DataModel","Redesign","Household must be represented by Account with accountType=Household; the parallel household table is retired.","Investigate","Not required","True"
"Attribute","cr7e8_account","cr7e8_offer","metadata:DataverseModelBuilder/cr7e8_offer","Party, household, and relationship","crmshow_DataModel","Refactor","Reuse native party tables while rebuilding only approved extensions and role relationships.","Investigate","Not required","True"
"Attribute","cr7e8_contact","cr7e8_offer","metadata:DataverseModelBuilder/cr7e8_offer","Party, household, and relationship","crmshow_DataModel","Refactor","Reuse native party tables while rebuilding only approved extensions and role relationships.","Investigate","Not required","True"
"Attribute","cr7e8_lead","cr7e8_offer","metadata:DataverseModelBuilder/cr7e8_offer","Sales and opportunity management","crmshow_DataModel","Redesign","Rebuild around native Lead and Opportunity; offer or quote data remains an externally referenced projection.","Investigate","Not required","True"
"Attribute","cr7e8_name","cr7e8_offer","metadata:DataverseModelBuilder/cr7e8_offer","Sales and opportunity management","crmshow_DataModel","Redesign","Rebuild around native Lead and Opportunity; offer or quote data remains an externally referenced projection.","Investigate","Not required","True"
"Attribute","cr7e8_offer_amount","cr7e8_offer","metadata:DataverseModelBuilder/cr7e8_offer","Sales and opportunity management","crmshow_DataModel","Redesign","Rebuild around native Lead and Opportunity; offer or quote data remains an externally referenced projection.","Investigate","Not required","True"
"Attribute","cr7e8_offer_amount_base","cr7e8_offer","metadata:DataverseModelBuilder/cr7e8_offer","Sales and opportunity management","crmshow_DataModel","Redesign","Rebuild around native Lead and Opportunity; offer or quote data remains an externally referenced projection.","Investigate","Not required","True"
"Attribute","cr7e8_offer_name","cr7e8_offer","metadata:DataverseModelBuilder/cr7e8_offer","Sales and opportunity management","crmshow_DataModel","Redesign","Rebuild around native Lead and Opportunity; offer or quote data remains an externally referenced projection.","Investigate","Not required","True"
